Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,76.226,76.477,73.158,73.827,2305700,0.0,0.0
2021-01-05,73.911,74.487,73.613,74.041,1856700,0.0,0.0
2021-01-06,73.734,75.426,73.641,74.506,2981200,0.0,0.0
2021-01-07,75.054,76.077,74.841,75.25,2853500,0.0,0.0
2021-01-08,75.408,76.281,75.259,76.179,2704700,0.0,0.0
2021-01-11,75.528,76.319,74.292,74.497,2156600,0.0,0.0
2021-01-12,74.543,74.831,73.074,74.032,2238300,0.0,0.0
2021-01-13,75.017,75.017,73.734,74.004,2030300,0.0,0.0
2021-01-14,73.753,74.571,73.502,74.413,2360500,0.0,0.0
2021-01-15,74.022,74.915,73.613,74.59,2174400,0.0,0.0
2021-01-19,74.729,75.287,73.613,74.143,2667900,0.0,0.0
2021-01-20,75.203,76.328,74.515,76.142,2479400,0.0,0.0
2021-01-21,76.226,76.291,75.008,75.184,2209200,0.0,0.0
2021-01-22,74.431,75.24,73.902,74.887,1449600,0.0,0.0
2021-01-25,74.366,74.766,72.74,74.394,1757200,0.0,0.0
2021-01-26,74.906,74.906,73.864,73.948,2053700,0.0,0.0
2021-01-27,72.833,73.186,70.555,70.788,3936600,0.0,0.0
2021-01-28,71.54,73.781,71.262,73.344,2992800,0.0,0.0
2021-01-29,73.418,74.004,72.135,72.461,3273000,0.0,0.0
2021-02-01,73.028,73.985,72.535,73.288,3442300,0.0,0.0
2021-02-02,73.307,75.138,73.307,74.413,2738800,0.0,0.0
2021-02-03,74.171,74.487,73.204,73.753,3483800,0.0,0.0
2021-02-04,69.105,70.304,67.636,69.43,8771100,0.0,0.0
2021-02-05,69.3,70.23,68.873,69.254,4711800,0.0,0.0
2021-02-08,69.375,70.546,68.9,70.509,2498600,0.0,0.0
2021-02-09,70.481,71.531,69.923,70.797,2663000,0.0,0.0
2021-02-10,70.871,71.048,69.979,70.685,2069800,0.0,0.0
2021-02-11,70.936,72.061,70.416,71.55,3609200,0.0,0.0
2021-02-12,71.355,71.717,70.853,71.54,1880900,0.0,0.0
2021-02-16,71.578,71.903,70.75,70.75,2445800,0.0,0.0
2021-02-17,70.62,71.608,70.284,71.273,3398600,0.24,0.0
2021-02-18,71.002,71.002,69.398,69.771,4440800,0.0,0.0
2021-02-19,69.967,70.116,68.438,68.671,4082500,0.0,0.0
2021-02-22,68.316,68.979,67.86,68.307,3063800,0.0,0.0
2021-02-23,67.934,68.475,67.207,67.962,3310500,0.0,0.0
2021-02-24,67.514,69.995,66.731,69.874,2922700,0.0,0.0
2021-02-25,69.118,69.92,68.251,68.428,2786500,0.0,0.0
2021-02-26,68.867,69.324,67.682,68.522,3279800,0.0,0.0
2021-03-01,69.109,70.088,68.829,69.781,3226900,0.0,0.0
2021-03-02,69.967,70.61,69.044,69.892,3068900,0.0,0.0
2021-03-03,69.715,69.715,67.869,68.223,3406400,0.0,0.0
2021-03-04,67.999,68.96,66.918,67.514,3284200,0.0,0.0
2021-03-05,69.482,69.482,67.076,68.736,2779000,0.0,0.0
2021-03-08,67.962,69.37,67.673,67.785,3250600,0.0,0.0
2021-03-09,68.717,70.144,68.55,69.37,2767400,0.0,0.0
2021-03-10,69.631,71.095,69.603,70.89,2636800,0.0,0.0
2021-03-11,71.245,73.026,71.077,72.308,3183400,0.0,0.0
2021-03-12,71.664,72.587,71.655,72.522,2447800,0.0,0.0
2021-03-15,72.065,73.977,72.065,73.921,3003700,0.0,0.0
2021-03-16,73.678,73.762,72.587,72.793,2497500,0.0,0.0
2021-03-17,72.252,73.035,71.953,72.765,2415000,0.0,0.0
2021-03-18,72.037,72.522,70.9,71.245,2890000,0.0,0.0
2021-03-19,70.648,72.112,70.312,71.384,5658300,0.0,0.0
2021-03-22,71.739,71.86,71.077,71.552,4237300,0.0,0.0
2021-03-23,71.953,72.382,71.03,71.086,3154500,0.0,0.0
2021-03-24,71.534,72.597,71.366,71.748,3008600,0.0,0.0
2021-03-25,71.832,72.224,70.928,71.897,2935500,0.0,0.0
2021-03-26,72.019,73.977,71.748,73.893,2403600,0.0,0.0
2021-03-29,73.576,73.772,71.981,72.793,3099600,0.0,0.0
2021-03-30,72.485,73.361,72.27,73.268,2506600,0.0,0.0
2021-03-31,73.501,73.837,72.643,72.848,3573800,0.0,0.0
2021-04-01,73.604,73.977,72.867,73.557,2430400,0.0,0.0
2021-04-05,73.846,75.059,73.669,74.909,2543600,0.0,0.0
2021-04-06,73.893,74.751,73.828,74.285,2346400,0.0,0.0
2021-04-07,74.508,74.714,73.762,73.865,1750500,0.0,0.0
2021-04-08,74.173,75.32,73.958,74.658,3345300,0.0,0.0
2021-04-09,74.658,75.208,74.387,75.115,1985700,0.0,0.0
2021-04-12,74.63,75.049,74.229,74.816,2358500,0.0,0.0
2021-04-13,74.853,75.292,74.49,75.012,2371000,0.0,0.0
2021-04-14,74.667,74.928,73.93,74.098,2276500,0.0,0.0
2021-04-15,74.648,75.068,73.893,74.387,4530400,0.0,0.0
2021-04-16,74.602,75.394,74.182,75.18,3132400,0.0,0.0
2021-04-19,75.096,75.422,74.658,74.975,2664600,0.0,0.0
2021-04-20,74.881,75.059,74.033,74.238,3087500,0.0,0.0
2021-04-21,74.592,74.956,73.846,73.902,6537900,0.0,0.0
2021-04-22,72.988,73.865,72.252,73.706,4507100,0.0,0.0
2021-04-23,73.818,74.061,73.119,73.38,2392700,0.0,0.0
