Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,178.44,179.81,174.28,176.6,1046500,0.0,0.0
2021-01-05,175.73,180.33,175.73,179.34,775100,0.0,0.0
2021-01-06,177.13,187.05,177.0,186.25,1123800,0.0,0.0
2021-01-07,187.8,189.81,187.32,188.06,741300,0.0,0.0
2021-01-08,188.0,192.0,187.53,191.08,805500,0.0,0.0
2021-01-11,190.07,192.07,188.27,191.44,617100,0.0,0.0
2021-01-12,191.0,192.34,187.94,189.42,607700,0.0,0.0
2021-01-13,189.04,191.37,188.96,189.36,529200,0.0,0.0
2021-01-14,189.38,190.55,187.7,188.11,568200,0.0,0.0
2021-01-15,187.92,188.75,185.61,187.79,1028200,0.0,0.0
2021-01-19,191.5,191.5,186.47,188.97,948300,0.0,0.0
2021-01-20,189.03,191.27,188.03,190.54,684100,0.0,0.0
2021-01-21,189.65,191.27,187.63,187.69,1154500,0.0,0.0
2021-01-22,186.99,187.41,185.13,185.59,824000,0.0,0.0
2021-01-25,185.75,186.44,179.53,183.02,930600,0.0,0.0
2021-01-26,184.48,184.68,180.06,180.34,755100,0.0,0.0
2021-01-27,176.12,176.85,170.0,173.0,1574200,0.0,0.0
2021-01-28,175.94,180.34,174.91,178.66,1028400,0.0,0.0
2021-01-29,178.05,181.75,176.51,177.8,881200,0.0,0.0
2021-02-01,180.18,182.2,178.83,180.44,1251600,0.0,0.0
2021-02-02,183.15,187.34,182.25,184.41,953400,0.0,0.0
2021-02-03,183.91,185.5,182.35,182.99,724800,0.0,0.0
2021-02-04,183.36,185.97,182.03,184.32,654500,0.0,0.0
2021-02-05,186.03,187.0,184.83,186.1,932300,0.0,0.0
2021-02-08,187.47,189.08,186.42,186.91,1344100,0.0,0.0
2021-02-09,185.64,187.14,183.79,183.82,1127700,0.0,0.0
2021-02-10,195.75,199.99,189.59,190.05,2085400,0.0,0.0
2021-02-11,191.66,196.97,191.31,192.85,1051900,0.0,0.0
2021-02-12,191.57,193.22,188.9,192.66,755400,0.0,0.0
2021-02-16,192.66,193.16,189.67,190.5,1060900,0.0,0.0
2021-02-17,188.51,191.67,188.22,188.93,586700,0.0,0.0
2021-02-18,188.0,189.03,185.38,187.71,713200,0.0,0.0
2021-02-19,188.4,189.45,185.97,188.7,788600,0.0,0.0
2021-02-22,187.45,190.79,186.39,190.14,788100,0.0,0.0
2021-02-23,190.67,192.81,189.89,191.05,1262200,0.0,0.0
2021-02-24,191.18,197.35,191.18,194.59,1350300,0.0,0.0
2021-02-25,194.05,195.0,190.68,192.55,1118900,0.0,0.0
2021-02-26,193.82,195.27,189.39,192.79,1383200,0.0,0.0
2021-03-01,194.98,196.72,192.55,194.39,823900,0.0,0.0
2021-03-02,194.33,194.79,190.12,192.74,609600,0.0,0.0
2021-03-03,191.17,192.44,188.61,190.59,638300,0.0,0.0
2021-03-04,189.71,191.26,183.91,186.58,857500,0.0,0.0
2021-03-05,187.87,189.92,181.13,188.78,1216600,0.0,0.0
2021-03-08,191.47,194.95,187.62,187.8,917500,0.0,0.0
2021-03-09,190.06,192.8,188.81,189.39,862700,0.0,0.0
2021-03-10,190.24,191.79,189.54,189.74,677000,0.0,0.0
