Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,130.1,131.599,127.951,128.772,834000,0.0,0.0
2021-01-05,129.068,132.688,128.333,131.857,678800,0.0,0.0
2021-01-06,136.269,141.159,135.257,140.662,928700,0.0,0.0
2021-01-07,140.977,144.005,139.621,141.789,880800,0.0,0.0
2021-01-08,142.429,145.819,141.694,142.629,675200,0.0,0.0
2021-01-11,142.362,143.26,141.006,141.474,456800,0.0,0.0
2021-01-12,141.56,143.097,140.481,142.324,644000,0.0,0.0
2021-01-13,143.556,144.014,141.216,142.505,726200,0.0,0.0
2021-01-14,143.89,146.516,143.336,145.112,632200,0.0,0.0
2021-01-15,144.683,145.246,141.703,144.692,689800,0.0,0.0
2021-01-19,147.586,149.687,141.34,141.837,1251900,0.0,0.0
2021-01-20,136.441,144.005,134.818,143.269,2103100,0.0,0.0
2021-01-21,143.546,143.966,139.803,140.672,871700,0.0,0.0
2021-01-22,140.385,140.643,138.427,139.564,617100,0.0,0.0
2021-01-25,139.669,141.111,137.291,140.137,594900,0.0,0.0
2021-01-26,136.412,139.917,136.412,137.005,641600,0.0,0.0
2021-01-27,135.123,135.983,129.374,129.622,846600,0.0,0.0
2021-01-28,130.339,133.347,129.365,130.625,503100,0.0,0.0
2021-01-29,131.37,131.37,127.98,128.6,677700,0.0,0.0
2021-02-01,129.804,130.797,127.359,130.749,565000,0.0,0.0
2021-02-02,132.535,134.894,130.845,134.273,528900,0.0,0.0
2021-02-03,134.627,134.856,131.609,132.793,400000,0.0,0.0
2021-02-04,133.539,136.018,132.123,135.951,754500,0.28,0.0
2021-02-05,136.85,138.678,136.209,138.42,583700,0.0,0.0
2021-02-08,138.956,140.18,137.826,139.731,397100,0.0,0.0
2021-02-09,140.573,142.133,139.712,141.96,557600,0.0,0.0
2021-02-10,141.664,141.664,138.908,140.401,722900,0.0,0.0
2021-02-11,141.243,141.262,139.405,140.975,762400,0.0,0.0
2021-02-12,141.013,142.927,140.401,141.932,487600,0.0,0.0
2021-02-16,142.496,143.051,139.319,140.018,769300,0.0,0.0
2021-02-17,139.243,139.511,135.319,137.625,482300,0.0,0.0
2021-02-18,137.176,141.061,136.544,140.573,584600,0.0,0.0
2021-02-19,141.568,143.491,139.865,140.247,1083900,0.0,0.0
2021-02-22,139.29,140.688,137.96,139.281,484100,0.0,0.0
2021-02-23,138.592,138.946,134.812,138.286,418400,0.0,0.0
2021-02-24,137.951,141.185,137.664,140.343,372600,0.0,0.0
2021-02-25,140.334,141.396,139.118,140.171,429600,0.0,0.0
2021-02-26,140.324,142.334,139.118,140.544,736800,0.0,0.0
2021-03-01,141.444,145.635,141.444,142.956,588200,0.0,0.0
2021-03-02,142.601,145.989,141.645,144.238,540900,0.0,0.0
2021-03-03,144.745,147.96,144.161,146.018,689300,0.0,0.0
2021-03-04,149.137,149.185,142.286,142.86,561800,0.0,0.0
2021-03-05,143.673,149.53,141.96,148.927,697100,0.0,0.0
2021-03-08,149.271,154.018,148.544,152.525,996000,0.0,0.0
2021-03-09,153.96,157.223,153.147,153.769,769100,0.0,0.0
2021-03-10,153.558,153.558,150.132,150.238,1048000,0.0,0.0
2021-03-11,149.97,152.477,147.625,152.429,764900,0.0,0.0
2021-03-12,153.29,156.649,152.075,155.817,374600,0.0,0.0
2021-03-15,156.152,156.152,153.204,154.506,450700,0.0,0.0
2021-03-16,154.745,154.745,150.477,151.357,370100,0.0,0.0
2021-03-17,151.845,153.683,149.644,153.013,368000,0.0,0.0
2021-03-18,152.745,157.376,152.745,155.109,381600,0.0,0.0
2021-03-19,154.391,156.649,153.022,155.319,936300,0.0,0.0
2021-03-22,156.869,156.869,150.506,151.587,806200,0.0,0.0
2021-03-23,151.137,153.491,148.477,149.233,600800,0.0,0.0
2021-03-24,149.884,154.372,149.52,152.659,560200,0.0,0.0
2021-03-25,153.558,155.07,151.022,154.467,475800,0.0,0.0
2021-03-26,155.338,159.912,154.927,159.711,454600,0.0,0.0
2021-03-29,159.032,161.453,158.611,160.132,556300,0.0,0.0
2021-03-30,160.333,162.726,159.903,162.046,554900,0.0,0.0
2021-03-31,161.644,162.659,159.434,160.831,786800,0.0,0.0
2021-04-01,160.486,162.592,159.568,162.486,413900,0.0,0.0
2021-04-05,163.329,165.587,163.329,163.702,474900,0.0,0.0
2021-04-06,163.606,164.534,161.788,162.008,374800,0.0,0.0
2021-04-07,161.864,162.477,160.85,162.018,269000,0.0,0.0
2021-04-08,161.539,161.73,159.252,160.391,447200,0.0,0.0
2021-04-09,161.663,162.831,160.85,162.209,437100,0.0,0.0
2021-04-12,161.644,164.439,161.587,164.113,518800,0.0,0.0
2021-04-13,163.998,163.998,161.223,163.07,660300,0.0,0.0
2021-04-14,163.061,163.061,160.668,161.893,696700,0.0,0.0
2021-04-15,162.907,164.18,161.041,162.458,940000,0.0,0.0
2021-04-16,167.462,170.716,163.405,164.745,1386100,0.0,0.0
2021-04-19,164.266,164.888,159.07,159.74,944100,0.0,0.0
2021-04-20,160.142,161.405,158.085,161.118,916200,0.0,0.0
2021-04-21,161.75,163.204,159.051,159.597,666900,0.0,0.0
2021-04-22,159.386,163.424,159.137,162.285,655200,0.0,0.0
2021-04-23,162.305,163.242,161.788,161.912,515100,0.0,0.0
2021-04-26,162.592,163.558,159.596,160.534,593600,0.0,0.0
2021-04-27,161.175,163.022,160.888,162.333,566500,0.0,0.0
2021-04-28,162.037,163.319,161.128,161.644,368600,0.0,0.0
2021-04-29,162.592,166.218,162.161,164.611,518100,0.0,0.0
2021-04-30,163.606,164.984,162.716,163.357,600400,0.0,0.0
2021-05-03,164.4,167.683,164.4,166.601,594700,0.0,0.0
2021-05-04,165.817,170.037,165.367,168.965,625500,0.0,0.0
2021-05-05,169.922,169.922,165.596,166.171,679800,0.0,0.0
2021-05-06,165.691,167.752,163.87,167.656,540600,0.3,0.0
2021-05-07,168.299,171.462,166.765,170.887,480100,0.0,0.0
2021-05-10,174.117,176.188,172.651,172.996,576200,0.0,0.0
2021-05-11,172.584,172.756,168.251,169.133,553600,0.0,0.0
2021-05-12,168.73,170.446,165.701,166.008,453400,0.0,0.0
2021-05-13,166.803,169.257,166.64,168.701,426400,0.0,0.0
2021-05-14,170.369,170.369,168.807,169.181,411200,0.0,0.0
2021-05-17,169.142,170.369,167.225,168.778,397300,0.0,0.0
2021-05-18,168.97,170.264,166.219,166.247,622400,0.0,0.0
2021-05-19,165.154,165.73,160.975,164.186,564800,0.0,0.0
2021-05-20,164.273,165.519,162.528,162.787,431500,0.0,0.0
2021-05-21,162.95,165.327,162.701,163.621,292700,0.0,0.0
2021-05-24,164.474,164.877,163.132,164.004,315900,0.0,0.0
2021-05-25,163.755,164.886,160.592,160.726,602300,0.0,0.0
2021-05-26,161.023,162.739,160.275,162.423,514200,0.0,0.0
2021-05-27,163.765,166.065,163.295,165.126,586800,0.0,0.0
2021-05-28,164.244,165.433,163.832,164.436,480400,0.0,0.0
2021-06-01,165.5,167.062,164.809,165.011,531500,0.0,0.0
2021-06-02,165.327,165.327,161.742,163.046,632300,0.0,0.0
2021-06-03,162.825,163.63,160.179,162.49,446000,0.0,0.0
2021-06-04,162.202,162.701,157.217,160.16,610000,0.0,0.0
2021-06-07,161.291,161.291,156.336,156.796,907700,0.0,0.0
2021-06-08,157.16,159.058,156.499,158.636,474400,0.0,0.0
2021-06-09,158.243,159.825,156.537,158.722,1047200,0.0,0.0
2021-06-10,159.01,160.525,156.69,157.4,573900,0.0,0.0
2021-06-11,157.649,158.828,157.275,158.406,427400,0.0,0.0
2021-06-14,158.559,158.809,156.901,157.793,481000,0.0,0.0
2021-06-15,157.783,160.831,156.441,159.873,759800,0.0,0.0
2021-06-16,160.036,160.237,157.486,157.697,483800,0.0,0.0
2021-06-17,158.09,158.396,151.15,152.06,647300,0.0,0.0
2021-06-18,150.124,150.92,148.686,149.434,1361000,0.0,0.0
2021-06-21,150.785,153.949,150.785,153.076,447900,0.0,0.0
2021-06-22,152.923,154.466,151.878,153.709,388900,0.0,0.0
2021-06-23,153.958,154.457,152.559,152.645,347300,0.0,0.0
2021-06-24,152.578,154.035,151.667,153.843,570500,0.0,0.0
2021-06-25,153.584,155.962,152.645,155.291,1702600,0.0,0.0
2021-06-28,155.3,155.597,153.824,155.08,603900,0.0,0.0
2021-06-29,154.735,155.54,153.172,154.965,661300,0.0,0.0
2021-06-30,154.907,156.623,154.466,156.201,682300,0.0,0.0
2021-07-01,157.256,160.592,156.24,160.026,939200,0.0,0.0
2021-07-02,159.365,160.093,157.821,158.464,527100,0.0,0.0
2021-07-06,158.818,159.163,153.556,156.268,650900,0.0,0.0
2021-07-07,156.326,160.151,156.326,160.026,611300,0.0,0.0
2021-07-08,158.291,159.192,154.821,155.588,658600,0.0,0.0
2021-07-09,157.927,159.154,156.355,158.914,587000,0.0,0.0
2021-07-12,157.821,159.825,157.342,158.598,602100,0.0,0.0
2021-07-13,158.512,160.266,157.246,159.997,719800,0.0,0.0
2021-07-14,160.898,164.963,160.438,162.605,988100,0.0,0.0
2021-07-15,161.608,163.64,160.39,160.812,894700,0.0,0.0
2021-07-16,160.803,161.368,155.933,158.119,1599300,0.0,0.0
2021-07-19,156.431,156.47,152.664,153.067,1080800,0.0,0.0
2021-07-20,153.517,158.617,152.53,157.534,1462700,0.0,0.0
2021-07-21,158.051,158.166,154.246,156.853,634100,0.0,0.0
2021-07-22,157.131,157.898,156.173,156.882,533900,0.0,0.0
2021-07-23,157.409,160.726,156.729,160.323,481800,0.0,0.0
2021-07-26,160.208,161.512,158.416,158.694,394400,0.0,0.0
2021-07-27,158.205,159.393,157.275,158.54,375800,0.0,0.0
2021-07-28,159.039,159.039,155.866,157.678,403700,0.0,0.0
2021-07-29,158.713,160.803,158.425,160.477,326400,0.0,0.0
2021-07-30,159.873,162.164,159.029,161.474,493400,0.0,0.0
2021-08-02,161.646,163.161,160.409,160.534,450300,0.0,0.0
2021-08-03,160.889,164.407,159.758,164.129,411100,0.0,0.0
2021-08-04,163.439,163.439,160.534,160.697,392900,0.0,0.0
2021-08-05,160.995,161.821,159.237,160.246,390000,0.3,0.0
