Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,133.715,135.007,127.495,130.536,3472400,0.0,0.0
2021-01-05,130.635,137.064,130.625,136.269,3487300,0.0,0.0
2021-01-06,137.233,146.613,135.971,142.509,4559100,0.0,0.0
2021-01-07,143.195,143.751,138.952,141.386,2173500,0.0,0.0
2021-01-08,142.489,143.831,140.154,143.105,1484000,0.0,0.0
2021-01-11,139.419,143.582,139.22,142.052,1473900,0.0,0.0
2021-01-12,141.943,143.135,139.965,140.055,1519900,0.0,0.0
2021-01-13,139.31,140.194,137.471,139.717,1966200,0.0,0.0
2021-01-14,140.224,145.48,140.224,143.254,2665800,0.0,0.0
2021-01-15,143.085,143.433,139.22,139.796,1669400,0.0,0.0
2021-01-19,141.635,142.777,139.339,141.913,1809500,0.0,0.0
2021-01-20,140.76,143.185,137.521,140.85,2293400,0.0,0.0
2021-01-21,141.973,141.973,135.146,137.998,3168100,0.0,0.0
2021-01-22,138.932,139.439,135.573,135.653,2697700,0.0,0.0
2021-01-25,134.828,137.67,125.389,135.126,7253700,0.0,0.0
2021-01-26,136.716,136.716,129.184,130.665,2984800,0.0,0.0
2021-01-27,127.555,129.661,117.549,122.427,7235900,0.0,0.0
2021-01-28,125.577,129.333,123.809,125.935,8107100,0.0,0.0
2021-01-29,124.146,125.538,119.655,123.312,4601100,0.0,0.0
2021-02-01,125.349,128.777,124.852,126.491,5913400,0.0,0.0
2021-02-02,128.24,135.911,128.012,135.265,4934300,0.0,0.0
2021-02-03,137.104,140.254,136.189,137.6,3341200,0.0,0.0
2021-02-04,140.76,142.012,139.121,141.009,2080900,0.0,0.0
2021-02-05,142.42,144.745,139.399,140.502,2058900,0.0,0.0
2021-02-08,141.197,145.391,141.197,144.496,2523500,0.0,0.0
2021-02-09,144.059,144.983,142.161,143.562,2613300,0.0,0.0
2021-02-10,144.626,150.896,144.377,147.954,3428300,0.0,0.0
2021-02-11,148.352,152.287,145.957,148.958,3365600,0.0,0.0
2021-02-12,147.428,150.737,144.655,145.579,5379000,0.0,0.0
2021-02-16,145.48,147.934,142.32,146.901,4305000,0.0,0.0
2021-02-17,145.57,154.542,144.079,153.062,4738600,0.0,0.0
2021-02-18,149.882,156.41,149.326,155.735,2923800,0.0,0.0
2021-02-19,156.639,161.07,156.132,157.911,3496800,0.0,0.0
2021-02-22,157.493,165.512,156.559,159.59,3588800,0.0,0.0
2021-02-23,159.351,159.898,152.128,158.676,3677300,0.0,0.0
2021-02-24,159.53,163.535,158.596,161.746,2906700,0.0,0.0
2021-02-25,163.565,163.952,155.109,156.182,3230000,0.0,0.0
2021-02-26,157.404,163.863,153.628,159.977,5159600,0.0,0.0
2021-03-01,162.958,164.697,158.437,160.216,3277200,0.0,0.0
2021-03-02,160.524,163.376,158.984,159.252,2089200,0.0,0.0
2021-03-03,160.097,165.135,157.305,162.392,2828300,0.0,0.0
2021-03-04,161.786,162.899,153.847,157.404,3863800,0.0,0.0
2021-03-05,159.908,166.675,155.138,165.393,4352300,0.0,0.0
2021-03-08,165.482,170.629,164.29,166.834,3987500,0.0,0.0
2021-03-09,167.877,168.493,161.965,164.717,3563800,0.0,0.0
2021-03-10,168.95,172.12,164.459,166.516,3898900,0.0,0.0
2021-03-11,167.648,174.137,167.648,169.993,4796600,0.0,0.0
2021-03-12,169.636,175.131,168.622,173.481,3543500,0.0,0.0
2021-03-15,175.657,176.174,170.272,175.975,2443500,0.0,0.0
2021-03-16,176.432,177.416,173.68,175.26,3080800,0.0,0.0
2021-03-17,175.3,184.302,174.365,184.093,5059400,0.0,0.0
2021-03-18,182.831,186.736,179.463,179.652,5432800,0.0,0.0
2021-03-19,178.459,179.791,173.978,178.837,3287300,0.0,0.0
2021-03-22,177.863,178.837,171.345,171.991,3341400,0.0,0.0
2021-03-23,169.159,171.504,164.677,167.35,4495900,0.0,0.0
2021-03-24,168.125,171.484,164.846,165.085,2784200,0.0,0.0
2021-03-25,162.571,173.988,161.696,173.551,3755500,0.0,0.0
2021-03-26,175.856,176.601,169.904,175.329,3391900,0.0,0.0
2021-03-29,175.329,178.698,172.12,175.011,2953400,0.0,0.0
2021-03-30,175.876,176.273,172.309,174.753,2576600,0.0,0.0
2021-03-31,175.508,176.075,170.828,171.027,2617100,0.0,0.0
2021-04-01,171.792,174.882,169.596,174.813,2839900,0.0,0.0
2021-04-05,176.532,177.197,173.392,174.902,2639200,0.0,0.0
2021-04-06,173.332,176.502,173.074,173.59,1943800,0.0,0.0
2021-04-07,173.889,174.385,169.298,170.947,3002900,0.0,0.0
2021-04-08,170.311,174.306,169.328,173.461,2553300,0.0,0.0
2021-04-09,174.375,174.475,169.755,173.869,2032900,0.0,0.0
2021-04-12,172.11,174.137,168.473,170.619,1776700,0.0,0.0
2021-04-13,170.321,171.603,166.486,169.844,2644600,0.0,0.0
2021-04-14,170.828,173.839,170.182,170.629,2408800,0.0,0.0
2021-04-15,170.868,171.414,168.125,169.467,1969500,0.0,0.0
